run,map,method,development_map,episode,result,enemy_elimination,enemy_kills,JEV_input,JEV_output,game_seconds,wall_seconds
smac-hard/jev_runs/all-maps-20260921-001/2s_vs_1sc/jev,2s_vs_1sc,jev_only,False,2,loss,0.0,0,105490,3955,16.071,18.156
smac-hard/jev_runs/all-maps-20260921-001/2s_vs_1sc/jev,2s_vs_1sc,jev_only,False,3,loss,0.0,0,102812,3838,15.714,18.047
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/2s_vs_1sc/jev,2s_vs_1sc,jev_gpt6,False,1,loss,0.0,0,207657,4739,16.071,90.281
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/2s_vs_1sc/jev,2s_vs_1sc,jev_gpt6,False,2,loss,0.0,0,208699,4796,16.071,22.515
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/2s_vs_1sc/jev,2s_vs_1sc,jev_gpt6,False,3,loss,0.0,0,211577,4925,16.071,19.578
smac-hard/jev_runs/all-maps-20260921-001/so_many_baneling/jev,so_many_baneling,jev_only,False,1,loss,0.4375,14,560728,8985,6.071,24.016
smac-hard/jev_runs/all-maps-20260921-001/so_many_baneling/jev,so_many_baneling,jev_only,False,2,loss,0.46875,15,548956,8320,6.071,9.453
smac-hard/jev_runs/all-maps-20260921-001/so_many_baneling/jev,so_many_baneling,jev_only,False,3,loss,0.53125,17,575195,9013,6.429,9.782
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/so_many_baneling/jev,so_many_baneling,jev_gpt6,False,1,loss,0.78125,25,537906,8468,7.5,62.125
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/so_many_baneling/jev,so_many_baneling,jev_gpt6,False,2,loss,0.53125,17,489004,7676,5.714,9.625
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/so_many_baneling/jev,so_many_baneling,jev_gpt6,False,3,loss,0.46875,15,483783,7941,5.714,9.328
smac-hard/jev_runs/all-maps-20260921-001/bane_vs_bane/jev-retry-20260922-003027-436916,bane_vs_bane,jev_only,False,1,draw,1.0,24,1706144,63449,14.286,43.281
smac-hard/jev_runs/all-maps-20260921-001/bane_vs_bane/jev-retry-20260922-003027-436916,bane_vs_bane,jev_only,False,2,win,1.0,24,1424343,56410,7.143,18.359
smac-hard/jev_runs/all-maps-20260921-001/bane_vs_bane/jev-retry-20260922-003027-436916,bane_vs_bane,jev_only,False,3,draw,1.0,24,1905686,79297,8.214,23.687
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/bane_vs_bane/jev-retry-20260922-201819-687502,bane_vs_bane,jev_gpt6,False,1,win,1.0,24,1529464,56947,6.071,70.5
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/bane_vs_bane/jev-retry-20260922-201819-687502,bane_vs_bane,jev_gpt6,False,2,loss,0.8333333333333334,20,1622719,61810,7.143,17.219
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/bane_vs_bane/jev-retry-20260922-201819-687502,bane_vs_bane,jev_gpt6,False,3,loss,0.5,12,1240624,43815,5.0,13.656
smac-hard/jev_runs/all-maps-20260921-001/2c_vs_64zg/jev,2c_vs_64zg,jev_only,False,1,loss,0.265625,17,366897,13452,6.429,23.438
smac-hard/jev_runs/all-maps-20260921-001/2c_vs_64zg/jev,2c_vs_64zg,jev_only,False,2,loss,0.125,8,515794,16574,9.643,15.047
smac-hard/jev_runs/all-maps-20260921-001/2c_vs_64zg/jev,2c_vs_64zg,jev_only,False,3,loss,0.296875,19,359594,12951,6.071,12.234
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/2c_vs_64zg/jev,2c_vs_64zg,jev_gpt6,False,1,loss,0.71875,46,610352,21378,18.571,72.625
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/2c_vs_64zg/jev,2c_vs_64zg,jev_gpt6,False,2,win,1.0,64,625120,23156,21.429,28.812
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/2c_vs_64zg/jev,2c_vs_64zg,jev_gpt6,False,3,loss,0.546875,35,534548,19558,13.929,19.578
smac-hard/jev_runs/all-maps-20260921-001/2vr_vs_3sc/jev-retry-20260922-003154-123594,2vr_vs_3sc,jev_only,False,1,loss,0.0,0,62234,2062,7.857,23.282
smac-hard/jev_runs/all-maps-20260921-001/2vr_vs_3sc/jev-retry-20260922-003154-123594,2vr_vs_3sc,jev_only,False,2,loss,0.0,0,64695,2150,8.214,10.407
smac-hard/jev_runs/all-maps-20260921-001/2vr_vs_3sc/jev-retry-20260922-003154-123594,2vr_vs_3sc,jev_only,False,3,loss,0.0,0,61356,2005,7.857,9.484
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/2vr_vs_3sc/jev,2vr_vs_3sc,jev_gpt6,False,1,loss,0.0,0,112508,2164,8.214,50.406
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/2vr_vs_3sc/jev,2vr_vs_3sc,jev_gpt6,False,2,loss,0.0,0,112548,2164,8.214,9.813
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/2vr_vs_3sc/jev,2vr_vs_3sc,jev_gpt6,False,3,loss,0.0,0,106944,2040,7.857,9.36
smac-hard/jev_runs/all-maps-20260921-001/3hl_vs_24zl/jev,3hl_vs_24zl,jev_only,False,1,loss,0.0,0,162776,7547,6.786,21.922
smac-hard/jev_runs/all-maps-20260921-001/3hl_vs_24zl/jev,3hl_vs_24zl,jev_only,False,2,loss,0.0,0,160318,7503,6.786,9.312
smac-hard/jev_runs/all-maps-20260921-001/3hl_vs_24zl/jev,3hl_vs_24zl,jev_only,False,3,loss,0.0,0,151845,7204,6.429,9.141
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3hl_vs_24zl/jev,3hl_vs_24zl,jev_gpt6,False,1,loss,0.125,3,196026,7141,7.143,66.875
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3hl_vs_24zl/jev,3hl_vs_24zl,jev_gpt6,False,2,loss,0.125,3,194030,7071,7.143,9.484
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3hl_vs_24zl/jev,3hl_vs_24zl,jev_gpt6,False,3,loss,0.20833333333333334,5,205438,8676,7.857,10.469
smac-hard/jev_runs/all-maps-20260921-001/3rp_vs_5zl/jev,3rp_vs_5zl,jev_only,False,1,loss,0.0,0,101897,3408,9.643,25.438
smac-hard/jev_runs/all-maps-20260921-001/3rp_vs_5zl/jev,3rp_vs_5zl,jev_only,False,2,loss,0.0,0,104031,3886,8.929,11.172
smac-hard/jev_runs/all-maps-20260921-001/3rp_vs_5zl/jev,3rp_vs_5zl,jev_only,False,3,loss,0.0,0,97681,2923,10.0,12.391
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3rp_vs_5zl/jev,3rp_vs_5zl,jev_gpt6,False,1,loss,0.0,0,170534,3083,10.357,72.593
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3rp_vs_5zl/jev,3rp_vs_5zl,jev_gpt6,False,2,loss,0.0,0,101942,2130,5.0,6.25
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3rp_vs_5zl/jev,3rp_vs_5zl,jev_gpt6,False,3,loss,0.0,0,179794,3302,11.071,13.578
smac-hard/jev_runs/all-maps-20260921-001/3rp_vs_24zl/jev,3rp_vs_24zl,jev_only,False,1,loss,0.0,0,156566,6620,5.0,20.0
