track,method,scope,map,development_map,run,method_name,episodes,result,wall_seconds,game_seconds,JEV_requests,GPT6_requests,JEV_usd,GPT6_usd,JEV_input,JEV_output,GPT6_input,GPT6_output,GPT6_cached,GPT6_cache_write,JEV_known_responses,GPT6_known_responses,JEV_unknown_attempts,GPT6_unknown_attempts,total_usd,JEV_n,JEV_median_ms,JEV_p95_ms,JEV_p90_ms,JEV_max_ms,JEV_mean_ms,GPT6_n,GPT6_median_ms,GPT6_p95_ms,GPT6_p90_ms,GPT6_max_ms,GPT6_mean_ms,level,seed,first_attack_seconds,replay_game_seconds
micro,jev_only,main,3rp_vs_5zl,False,smac-hard/jev_runs/all-maps-20260921-001/3rp_vs_5zl/jev,JEV-only,3,,49.266,28.572000000000003,80,0,0.012751578,0.0,303609,10217,0,0,0,0,80,0,0,0,0.012751578,80,406.9999999992433,594.7499999972933,519.0000000031434,921.9999999986612,438.6874999999236,0,,,,,,,,,
micro,jev_gpt6,main,3rp_vs_5zl,False,smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3rp_vs_5zl/jev,JEV + GPT-6,3,,92.766,26.427999999999997,74,1,0.018995340000000006,0.21252,452270,8515,17707,709,0,0,74,1,0,0,0.23151534,74,421.49999999674037,505.60000000114076,479.5000000071014,5671.0000000020955,491.95945945865714,1,41235.00000000058,41235.00000000058,41235.00000000058,41235.00000000058,41235.00000000058,,,,
micro,jev_only,main,3rp_vs_24zl,False,smac-hard/jev_runs/all-maps-20260921-001/3rp_vs_24zl/jev,JEV-only,3,,36.25,15.714,44,0,0.020530272,0.0,488816,20565,0,0,0,0,44,0,0,0,0.020530272,44,485.0000000005821,664.9499999988622,620.1999999990221,875.0,508.49999999974733,0,,,,,,,,,
micro,jev_gpt6,main,3rp_vs_24zl,False,smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3rp_vs_24zl/jev,JEV + GPT-6,3,,68.188,17.142000000000003,48,1,0.021244272,0.18089,505816,21468,14549,708,0,0,48,1,0,0,0.202134272,48,453.00000000861473,515.9999999981665,500.0,1343.9999999973224,474.93749999982055,1,30656.000000002678,30656.000000002678,30656.000000002678,30656.000000002678,30656.000000002678,,,,
micro,jev_only,main,7q_vs_2bc,False,smac-hard/jev_runs/all-maps-20260921-001/7q_vs_2bc/jev,JEV-only,3,,103.11,67.143,188,0,0.04763921399999999,0.0,1134267,45382,0,0,0,0,188,0,0,0,0.04763921399999999,188,438.00000000192085,625.0,582.5000000011644,1046.9999999986612,461.68617021279755,0,,,,,,,,,
micro,jev_gpt6,main,7q_vs_2bc,False,smac-hard/jev_runs/p0-astra-all-maps-20260922-001/7q_vs_2bc/jev,JEV + GPT-6,3,,137.141,65.001,182,1,0.06898718400000003,0.21456,1642552,44435,18276,636,0,0,182,1,0,0,0.283547184,182,445.5000000016298,515.2000000030964,500.0,1281.0000000026776,452.1868131872667,1,38093.99999999732,38093.99999999732,38093.99999999732,38093.99999999732,38093.99999999732,,,,
micro,jev_only,main,3st_vs_5zl,False,smac-hard/jev_runs/all-maps-20260921-001/3st_vs_5zl/jev,JEV-only,3,,65.781,39.285,110,0,0.021055398000000006,0.0,501319,19178,0,0,0,0,110,0,0,0,0.021055398000000006,110,437.0000000053551,610.0000000005821,581.1000000008792,889.9999999994179,462.07272727293787,0,,,,,,,,,
micro,jev_gpt6,main,3st_vs_5zl,False,smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3st_vs_5zl/jev,JEV + GPT-6,3,,103.797,40.714,114,1,0.03483593399999999,0.21668,829427,19367,18143,705,0,0,114,1,0,0,0.251515934,114,422.0000000059372,500.0,468.99999999732245,5093.999999997322,474.52631578938997,1,31250.0,31250.0,31250.0,31250.0,31250.0,,,,
micro,jev_only,main,6m_vs_10m,False,smac-hard/jev_runs/all-maps-20260921-001/6m_vs_10m/jev,JEV-only,3,,43.219,21.072,59,0,0.018634853999999992,0.0,443687,21833,0,0,0,0,59,0,0,0,0.018634853999999992,59,469.0000000045984,641.5999999997438,625.0,1093.9999999973224,490.6949152537598,0,,,,,,,,,
micro,jev_gpt6,main,6m_vs_10m,False,smac-hard/jev_runs/p0-astra-all-maps-20260922-001/6m_vs_10m/jev,JEV + GPT-6,3,,89.594,30.714,86,1,0.03663160199999999,0.20704,872181,26429,17539,633,0,0,86,1,0,0,0.243671602,86,438.0000000091968,530.9999999990396,515.5000000013388,1312.000000005355,466.39534883687764,1,34375.0,34375.0,34375.0,34375.0,34375.0,,,,
