run,method,level,seed,game_seconds,workers,army_supply,supply_used,bases,minerals
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,510.17857142857144,42,34,78,1,100
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,515.1785714285714,42,34,79,1,135
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,520.1785714285714,43,34,79,1,220
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,525.1785714285714,44,36,82,1,120
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,530.1785714285714,44,36,82,1,165
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,535.1785714285714,44,38,85,1,70
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,540.1785714285714,44,38,85,1,140
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,545.1785714285714,45,38,86,1,145
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,550.1785714285714,45,40,88,1,10
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,555.1785714285714,45,40,88,1,90
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,560.1785714285714,46,42,91,1,60
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,565.1785714285714,46,42,91,1,130
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,570.1785714285714,47,42,91,1,45
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,575.1785714285714,47,42,92,1,55
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,580.1785714285714,47,44,94,1,70
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,585.1785714285714,48,44,94,1,20
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,590.1785714285714,48,44,95,1,40
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,595.1785714285714,48,44,95,1,95
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,600.1785714285714,49,44,96,1,110
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,605.1785714285714,49,48,100,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,610.1785714285714,49,48,100,1,65
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,615.1785714285714,50,48,101,1,65
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,620.1785714285714,50,46,99,1,80
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,625.1785714285714,51,48,101,1,35
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,630.1785714285714,51,48,102,1,30
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,635.1785714285714,51,50,104,1,30
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,640.1785714285714,52,50,105,1,30
